time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w
1718606828186265707,1,1718606828186265861,2.3757288816865376,-21.286514968642507,2.3761479680622686,0.012385421180620856,-0.041187289264446085,-0.30356010177163056,0.9518410965899838
1718606828187456875,2,1718606828187457162,2.4240213204664256,-21.6914242437419,2.424287397769587,0.012224977254618054,-0.04126317975381169,-0.3035120819706186,0.9518551969840734
1718606828196792409,3,1718606828196792650,2.466005753374824,-22.042839897464944,2.465253127696006,0.01228203581736075,-0.0412699416815868,-0.3035050822949775,0.9518564012133859
1718606828237354719,4,1718606828237354908,2.5024341364290135,-22.347935760450653,2.5020761116984045,0.012560040845903184,-0.041254253373718394,-0.30364299926115035,0.951809466727569
1718606828275119277,5,1718606828275119484,2.534134935352363,-22.612873958948263,2.533259038622964,0.01236163756216226,-0.04132352912647338,-0.3036351631512819,0.9518115588473433
1718606828284035299,6,1718606828284035423,2.5637132930815207,-22.840257590035215,2.5601512499153585,0.012260520956168234,-0.04136219721352954,-0.30359385402192296,0.9518243640859736
1718606828329889209,7,1718606828329889462,2.5894777890531087,-23.03774159942344,2.5827231761713194,0.012457042895567929,-0.04133917751569738,-0.3036228111322796,0.9518135757829658
1718606828330439299,8,1718606828330439762,2.6119315093933277,-23.20927070927054,2.601548094678262,0.012540650863892533,-0.04132546279688818,-0.3036621062484516,0.9518005376281772
1718606828331347606,9,1718606828331347821,2.6315050520885093,-23.358261834766203,2.6171151979543086,0.01257438081960197,-0.04131689916879593,-0.30369862007396425,0.9517888142625175
1718606828370477841,10,1718606828370478292,2.648570826724643,-23.46559373054795,2.625024805858919,0.012379682480988228,-0.041336420449787616,-0.30369886407927577,0.951790441096687
1718606828396326492,11,1718606828396327069,2.6651523270959894,-23.558404572150515,2.6314113078307306,0.012278251464128594,-0.041360691574470414,-0.3035699455363517,0.9518318264801411
1718606828409117119,12,1718606828409117312,2.67962787795349,-23.638988252268796,2.636195804904883,0.012436553126277491,-0.04131639822474703,-0.30359006469310096,0.9518252780861151
1718606828418296069,13,1718606828418296243,2.692269962544177,-23.708955561706475,2.639588944275454,0.012526240911126639,-0.041299223174496885,-0.3036063856207797,0.9518196415624683
1718606828433825202,14,1718606828433825441,2.706297056598507,-23.77009019729585,2.6336330209771317,0.012582076324045885,-0.04126471898401407,-0.30365495934087766,0.9518049064751852
1718606828445340214,15,1718606828445340417,2.7185418196563433,-23.823166893517914,2.6276954514386826,0.01253929542440853,-0.04125405150917755,-0.3036629914739401,0.951803370929855
1718606828519994811,16,1718606828519995124,2.720481033123147,-23.8932196752561,2.6323729068913018,0.012245833787738702,-0.041271809198657444,-0.30359124924098163,0.9518293075465857
1718606828522768224,17,1718606828522768384,2.722222796866806,-23.954022792034273,2.6356863801448043,0.012293712360780324,-0.0412598672262733,-0.3035911122468957,0.9518292517870806
1718606828536335251,18,1718606828536335495,2.7240881063863474,-24.00663983881963,2.6378251330225257,0.012544693808149592,-0.04119080125007819,-0.3036888108991091,0.9517978013655639
1718606828567194129,19,1718606828567194959,2.7257608911362627,-24.052303608838265,2.6389511541391455,0.012339329526569378,-0.04120642440802534,-0.30369160709283,0.9517989174797977
1718606828610246431,20,1718606828610246700,2.6856223096498266,-24.113252879108053,2.626309644936744,0.01225380710049029,-0.04121092824812278,-0.3036466351287895,0.9518141754457304
1718606828610767419,21,1718606828610767677,2.650803047361109,-24.16613805580304,2.61460002877402,0.012410928961085713,-0.041189952140000034,-0.303673106963795,0.9518046022120207
1718606828618520493,22,1718606828618520732,2.6206052724742657,-24.21201527734432,2.6037005114267506,0.0124971609866633,-0.04117546801518208,-0.3036967685562306,0.9517965510388801
1718606828634094808,23,1718606828634095033,2.5945838306445683,-24.249854973812027,2.596123246321464,0.012546933006233848,-0.04115867905312972,-0.3037555753300399,0.9517778564700142
1718606828646832810,24,1718606828646833054,2.5720248220303477,-24.28267467910038,2.5888252645981127,0.012509136396603575,-0.0411694271242407,-0.3037662788556631,0.9517744730801811
1718606828664139719,25,1718606828664139958,2.5524731482203546,-24.311127853911657,2.581778455204062,0.01235050813736934,-0.041206006997434305,-0.30372391149555666,0.9517884825537213
1718606828671649505,26,1718606828671649684,2.5355334981697375,-24.33578020663093,2.574957228189215,0.012268839003766952,-0.04123561322285425,-0.3036724825980649,0.9518046664649017
1718606828701489691,27,1718606828701489897,2.5234036458650504,-24.3589656651856,2.571435202819555,0.012242898966189363,-0.0412573133388881,-0.30364178842046247,0.9518138525183292
1718606828711354222,28,1718606828711354513,2.5129201692602776,-24.37902008544257,2.5676869775847453,0.012450965670868383,-0.04126774765652221,-0.30365752242579985,0.9518056816028392
1718606828721597571,29,1718606828721597871,2.503866124936138,-24.396358243821084,2.5637494425417833,0.01254924327259813,-0.04126353366300548,-0.3036963199676704,0.9517921950305233
1718606828736712140,30,1718606828736712373,2.4945614793267508,-24.41135181418597,2.563326346187414,0.012565976446658845,-0.0412559642088701,-0.30374034046502213,0.9517782552818334
1718606828771973441,31,1718606828771973743,2.486527739488281,-24.42430493516496,2.562292831861275,0.012366861939667906,-0.04130010708603776,-0.3036793217962256,0.951798419516355
1718606828785119461,32,1718606828785119741,2.478832082978139,-24.436800209169967,2.560872862665597,0.012273540743548316,-0.04132862083297693,-0.30361474294123547,0.9518189918079949
1718606828794005825,33,1718606828794006049,2.4721948326687713,-24.44755791849223,2.558976955064153,0.012313055117179339,-0.04132920957588334,-0.3036077380404384,0.9518206903148736
1718606828813912553,34,1718606828813912760,2.4664816786038832,-24.456805537472427,2.5566745860371,0.012440594812582709,-0.04131254543189142,-0.3036394409490915,0.9518096422556195
1718606828819779885,35,1718606828819780431,2.461572357052178,-24.464744603123975,2.554029671627808,0.0125439191742513,-0.04129221184357946,-0.3036854785214493,0.9517944806879335
1718606828835066988,36,1718606828835067190,2.470786321928369,-24.473901163253807,2.550620594780725,0.01256774874835652,-0.0412819592668253,-0.30371712433373305,0.951784513383643
1718606828858454651,37,1718606828858454997,2.4788393301896807,-24.48177750582213,2.5470220027268393,0.012516799251261266,-0.04128092856514951,-0.30371573248057565,0.9517856736246297
1718606828862517920,38,1718606828862518191,2.4858808938013635,-24.48853353091362,2.5432685164344475,0.012428545779482674,-0.041284101136551205,-0.3036947415244242,0.9517933905073976
1718606828869622198,39,1718606828869622364,2.4920439660667015,-24.49432078534116,2.5393874823452887,0.012333626330246587,-0.041293615568016584,-0.3036463130501856,0.9518096635073082
1718606828886609438,40,1718606828886609601,2.4974423722021726,-24.49924422769947,2.534589282095338,0.012270415252986227,-0.041299243289314114,-0.303631939567078,0.9518148216370576
1718606828912198822,41,1718606828912198994,2.5021814337869444,-24.503422678046185,2.529807154105539,0.01247787552176763,-0.04122872595968011,-0.3036555011549166,0.9518076651280769
1718606828922312714,42,1718606828922312889,2.506347000488977,-24.506957230353343,2.525049323314618,0.01254708870446316,-0.041204419382962015,-0.30368921687086703,0.9517970508174076
1718606828937555362,43,1718606828937555528,2.5485284430336734,-24.49144859968453,2.5205561803828993,0.012546742533494085,-0.04117680100512914,-0.303706360006756,0.9517927805999733
1718606828959297507,44,1718606828959297721,2.585213464634262,-24.477890168046194,2.516057823832514,0.01247142388452089,-0.041176872436750986,-0.3037170638424018,0.9517903518598886
1718606828963567098,45,1718606828963567282,2.6171227762964353,-24.466029775133258,2.511562123522172,0.012373524623372966,-0.04119479314657716,-0.3036976502858052,0.9517970488065648
1718606828971040118,46,1718606828971040414,2.6448802662407007,-24.45563444686737,2.50707812869912,0.012287331444193072,-0.041206343953249416,-0.3036698922672063,0.9518065219541262
1718606828990939833,47,1718606828990940004,2.6683029126206796,-24.44676506587023,2.5049861586556497,0.012242660190954775,-0.04120980351236317,-0.3036629094199852,0.9518091756274002
1718606829003882851,48,1718606829003883028,2.6886880399536905,-24.438949338414815,2.502598530997785,0.012297380296561971,-0.0412013628450097,-0.3036569253443931,0.9518107447533597
1718606829010402182,49,1718606829010402338,2.706435955610717,-24.432053359688176,2.49996255086682,0.012429036288663613,-0.041167312304463514,-0.30368561473799666,0.9518013547246962
1718606829020314342,50,1718606829020314486,2.7218910638892138,-24.425962928462113,2.4971169309384664,0.012503015069049155,-0.04114053154972304,-0.3037155090890222,0.9517920050183156
1718606829031840940,51,1718606829031841097,2.7333180688386887,-24.417038862967054,2.497892914448876,0.012538470685576222,-0.04112820511660768,-0.3037481765073419,0.9517816465793075
1718606829041700477,52,1718606829041700636,2.7432769206631824,-24.409203468627474,2.498022614495451,0.012493484326982723,-0.041121228454570294,-0.303753904509483,0.9517807115691105
1718606829074764104,53,1718606829074764310,2.7519581053509405,-24.402312951203342,2.497601804892994,0.012370026246964438,-0.041143176903792746,-0.3037485008975672,0.9517831001060026
1718606829090570821,54,1718606829090571019,2.756618855153634,-24.396300074944982,2.4957428056811493,0.01223487011985129,-0.041178531188993596,-0.3036535326540649,0.9518136207414634
1718606829093699891,55,1718606829093700069,2.7606966532555606,-24.390969101669448,2.4936030036015433,0.012271875700381683,-0.041179095683875976,-0.3036326581308694,0.9518197791923823
1718606829110842295,56,1718606829110842468,2.764274320258322,-24.386230439588466,2.491227839383646,0.012405290709981896,-0.04116813303440541,-0.3036323963945364,0.9518186074271576
1718606829119480513,57,1718606829119480675,2.7674137556498324,-24.382011474409282,2.4886540134566495,0.012486535550773677,-0.04116001186192286,-0.30366118514207396,0.9518087121326304
1718606829134645273,58,1718606829134645438,2.768216904034698,-24.378182978135655,2.4837121629684775,0.012538729870635928,-0.04116109288846975,-0.30371170518545815,0.9517918600297017
1718606829144754179,59,1718606829144754379,2.7689410404931962,-24.374769695787478,2.478916635408339,0.012483858864355594,-0.041172740308793115,-0.30374641104606825,0.9517810023844521
1718606829164520956,60,1718606829164521143,2.769594859845885,-24.37171317761546,2.474254378173243,0.012349692046820026,-0.04121069567912005,-0.3037156729586873,0.9517909190926563
1718606829171529709,61,1718606829171529886,2.770186146009708,-24.36896402852684,2.469717815029024,0.012272636049202685,-0.04123226805816284,-0.30367576192788226,0.951803716158276
1718606829187355516,62,1718606829187355693,2.7724868937358997,-24.342575114546868,2.4621081942460674,0.01224783220551334,-0.041255540769049436,-0.3036388750959463,0.9518147952687999
1718606829197567803,63,1718606829197568044,2.7745119287964215,-24.319550157253637,2.4550159944767422,0.012310025675837229,-0.041254052953037065,-0.30362929567675895,0.9518171133099276
1718606829206762426,64,1718606829206762657,2.776301626994261,-24.2994422121195,2.448387395368317,0.01242249288627387,-0.04123590630103225,-0.30364591974792665,0.9518111352166766
1718606829216816572,65,1718606829216816749,2.777885018301727,-24.28187622469995,2.4421662527682564,0.012511453552693886,-0.041226283245134165,-0.303660995069522,0.9518055774018024
1718606829237706763,66,1718606829237707037,2.7830334767756284,-24.265638145874306,2.4386376148677353,0.012555246074386475,-0.04123011549109011,-0.30369060827657585,0.9517953865286417
