time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w
1718608626399758137,1,1718608626399758484,0.0,0.0,0.0,-0.0060382054753935046,-0.025676093048424244,0.023866222290969467,0.9993671406214854
1718608626414477790,2,1718608626414478075,1.3431684888573372,-2.5047377025188235,0.42660619760670637,-0.005795945490675524,-0.02564487267944759,0.023770368043562747,0.9993716611572482
1718608626424557767,3,1718608626424558122,2.4274261652587903,-4.526582240703677,0.7700641928870198,-0.005674909105101696,-0.02561975004584579,0.023697559776501797,0.9993747292556864
1718608626439218752,4,1718608626439219305,3.353745579600396,-6.235576863688571,1.0385109639467407,-0.0056024227479625965,-0.025615651672388533,0.02361190738776968,0.9993772706432057
1718608626485587957,5,1718608626485588456,4.126387489137356,-7.66099424524166,1.261502701864772,-0.005733857362392172,-0.025623987987207584,0.023560654179036605,0.9993775211070314
1718608626486517007,6,1718608626486517199,4.776457554099424,-8.862835805121597,1.4499557388429565,-0.005941484104438096,-0.025615401483983627,0.023771919233952547,0.9993715254245467
1718608626498197898,7,1718608626498198130,5.328583247959482,-9.883496701172064,1.609095991120922,-0.005950349304050464,-0.025623796167496497,0.02386114155857019,0.9993691311705842
1718608626507567952,8,1718608626507568094,5.800238106224918,-10.755309019806953,1.7441404267468392,-0.005928320581921196,-0.0256293909068519,0.02392897849030522,0.9993674966323611
1718608626518683028,9,1718608626518683384,6.204909430190709,-11.503215723835996,1.8591210209666562,-0.005892307090507786,-0.025642073036970452,0.023972012341042598,0.9993663529616347
1718608626536606122,10,1718608626536606870,6.553239807873809,-12.146930562423794,1.9585093181824018,-0.0057923575519196096,-0.0256108718726896,0.024004847054675302,0.9993669492002389
1718608626551042648,11,1718608626551042866,6.853809647974297,-12.702333404309945,2.0433992099676264,-0.005750584248934047,-0.02558165528025504,0.024005490588727047,0.9993679232972773
1718608626586455897,12,1718608626586456375,7.113647256450148,-13.182405460519696,2.1159189291676697,-0.005752035654346107,-0.025543660775700996,0.024033618138359233,0.9993682107607719
1718608626588066901,13,1718608626588067235,7.338588610678927,-13.597936950711933,2.177843188329584,-0.005804849197768251,-0.02552194652085926,0.024077895509785025,0.9993673943647539
1718608626588638847,14,1718608626588639041,7.533527899284212,-13.957981333256956,2.230658800164905,-0.0058800314676857035,-0.025514230836116352,0.02415034996572073,0.9993654035693419
1718608626611342669,15,1718608626611342991,7.702605926947196,-14.270175587313211,2.275627806513258,-0.005936190295426271,-0.025521746948779057,0.024211901394267977,0.9993633903182231
1718608626618712891,16,1718608626618713230,7.849324815281142,-14.54100310557564,2.3138233596300486,-0.005893467581994351,-0.025545591862227598,0.024198268061155385,0.9993633641469497
1718608626623765140,17,1718608626623765559,7.976709467315987,-14.776052185607824,2.346177186794711,-0.005832609280529762,-0.02555735606769303,0.024148721354163516,0.999364618883803
1718608626638844059,18,1718608626638844447,8.087557061903322,-14.98153237079352,2.3711096606450486,-0.005731714220201135,-0.025519521000722255,0.02403172579002804,0.9993689897407986
1718608626679789104,19,1718608626679789331,8.183856031575782,-15.159990423116941,2.3919621216554408,-0.005753996704042411,-0.02547363529857161,0.02388285068100547,0.9993736012472784
1718608626710136796,20,1718608626710137028,8.26753655270285,-15.314771009758154,2.409155586989513,-0.005881409382262682,-0.02544763951145224,0.023800742755589396,0.9993754806434144
1718608626721290512,21,1718608626721290758,8.340255350267416,-15.449197544993677,2.4233024895901014,-0.005855124650975203,-0.025445698729619676,0.02378604459001877,0.9993760343405502
1718608626730883070,22,1718608626730883486,8.403443413662028,-15.56597144310279,2.434806681598424,-0.0058039693296592434,-0.025440637489549042,0.023767138336548303,0.9993769114000168
1718608626740843855,23,1718608626740844097,8.45855537319936,-15.667421998006464,2.4440148745057515,-0.0057410805853902415,-0.0254356444709535,0.02373948072668104,0.9993780591142107
1718608626765656266,24,1718608626765656682,8.506475697297557,-15.755571248469998,2.4512557010455476,-0.005687933371961415,-0.025427469790516227,0.023705027817398982,0.9993793888459902
1718608626766966524,25,1718608626766966802,8.548147651910465,-15.832162022081885,2.4567823786874934,-0.00567844170047257,-0.025388713297074525,0.023704336368871252,0.9993804445626724
1718608626773328796,26,1718608626773329204,8.584371887950212,-15.898708485464592,2.460810788647703,-0.005723011059299586,-0.025353030546360386,0.02373941923463513,0.9993802634437668
1718608626788693257,27,1718608626788693534,8.613543642786318,-15.952001721655623,2.4633616499481548,-0.005847657623697148,-0.0253249798970554,0.023858407714428993,0.9993774195342127
1718608626799615134,28,1718608626799615456,8.638925335790404,-15.998270450729475,2.464821000520984,-0.005940702831344876,-0.02534690164116959,0.02396069129836831,0.9993738679290982
1718608626813355626,29,1718608626813355876,8.660989156340108,-16.038434691806085,2.4653555871240087,-0.005973334061089046,-0.02536680220404905,0.0240456242517267,0.9993711285505902
1718608626830446012,30,1718608626830446251,8.680153014645747,-16.07328800258665,2.4650489153205477,-0.005901820414070979,-0.025360447951074633,0.02406380852575179,0.9993712770110801
1718608626840178462,31,1718608626840178669,8.695705938056637,-16.105245384737252,2.4595906728339587,-0.0057369566756645075,-0.02536079774331333,0.024054429742338665,0.9993724539308132
1718608626849688744,32,1718608626849688950,8.709256924039558,-16.132985613818796,2.454133098768449,-0.005674177571720787,-0.025350808163411277,0.02406534091392685,0.9993728031125537
1718608626866183353,33,1718608626866183879,8.721026837264258,-16.15705950524609,2.4486281262305596,-0.005678824783820837,-0.025259405918011738,0.024099089809346757,0.9993742778519492
1718608626898620502,34,1718608626898620755,8.731278120027145,-16.177944253568768,2.4431250246733143,-0.005921597783145593,-0.0253179340970755,0.024228303499193256,0.9993682635556834
1718608626910226256,35,1718608626910226561,8.740197611500378,-16.196024017186097,2.4376110140747587,-0.005938358922957815,-0.025320300202996946,0.02424296117662267,0.9993677486913017
1718608626920362535,36,1718608626920362748,8.747973911298985,-16.211665969683025,2.4321223663118374,-0.00582286609463738,-0.0253403870357872,0.02419085188213859,0.999369181884521
1718608626936253731,37,1718608626936254089,8.741270283704608,-16.20932964518893,2.4181895170590577,-0.005697085991068552,-0.025290198638747888,0.02411467024587291,0.9993730193190907
1718608626949115951,38,1718608626949116179,8.735442462310644,-16.207266984521766,2.4053511197628437,-0.005624423084590663,-0.02523637293900699,0.024008945705302036,0.9993773370814294
1718608626974302552,39,1718608626974302804,8.730372234927472,-16.205438220533974,2.3934873929478613,-0.005684692506144706,-0.025242611976074514,0.023934852627698313,0.9993786157615272
